Provinces;Population;Sex;Age;Year;Total
45 Toledo;TOTAL;Hombres;5-9 años;2019;20.241
45 Toledo;TOTAL;Hombres;10-14 años;2019;21.019
45 Toledo;TOTAL;Hombres;15-19 años;2019;18.915
45 Toledo;TOTAL;Hombres;20-24 años;2019;18.133
45 Toledo;TOTAL;Hombres;25-29 años;2019;19.086
45 Toledo;TOTAL;Hombres;30-34 años;2019;21.499
45 Toledo;TOTAL;Hombres;35-39 años;2019;27.800
45 Toledo;TOTAL;Hombres;40-44 años;2019;31.451
45 Toledo;TOTAL;Hombres;45-49 años;2019;28.802
45 Toledo;TOTAL;Hombres;50-54 años;2019;26.452
45 Toledo;TOTAL;Hombres;55-59 años;2019;23.545
45 Toledo;TOTAL;Hombres;60-64 años;2019;19.463
45 Toledo;TOTAL;Hombres;65-69 años;2019;15.737
45 Toledo;TOTAL;Hombres;70-74 años;2019;13.357
45 Toledo;TOTAL;Hombres;75-79 años;2019;9.579
45 Toledo;TOTAL;Hombres;80-84 años;2019;8.303
45 Toledo;TOTAL;Hombres;85-89 años;2019;6.115
45 Toledo;TOTAL;Hombres;90-94 años;2019;2.335
45 Toledo;TOTAL;Hombres;95-99 años;2019;466
45 Toledo;TOTAL;Hombres;100 años y más;2019;55
46 Valencia/València;TOTAL;Hombres;0-4 años;2019;56.124
46 Valencia/València;TOTAL;Hombres;5-9 años;2019;66.986
46 Valencia/València;TOTAL;Hombres;10-14 años;2019;72.343
46 Valencia/València;TOTAL;Hombres;15-19 años;2019;65.785
46 Valencia/València;TOTAL;Hombres;20-24 años;2019;64.086
46 Valencia/València;TOTAL;Hombres;25-29 años;2019;68.617
46 Valencia/València;TOTAL;Hombres;30-34 años;2019;75.201
46 Valencia/València;TOTAL;Hombres;35-39 años;2019;96.168
46 Valencia/València;TOTAL;Hombres;40-44 años;2019;115.499
46 Valencia/València;TOTAL;Hombres;45-49 años;2019;107.697
46 Valencia/València;TOTAL;Hombres;50-54 años;2019;100.118
46 Valencia/València;TOTAL;Hombres;55-59 años;2019;87.418
46 Valencia/València;TOTAL;Hombres;60-64 años;2019;72.944
46 Valencia/València;TOTAL;Hombres;65-69 años;2019;62.029
46 Valencia/València;TOTAL;Hombres;70-74 años;2019;53.309
46 Valencia/València;TOTAL;Hombres;75-79 años;2019;39.191
46 Valencia/València;TOTAL;Hombres;80-84 años;2019;28.894
46 Valencia/València;TOTAL;Hombres;85-89 años;2019;16.997
46 Valencia/València;TOTAL;Hombres;90-94 años;2019;5.765
46 Valencia/València;TOTAL;Hombres;95-99 años;2019;1.038
46 Valencia/València;TOTAL;Hombres;100 años y más;2019;141
47 Valladolid;TOTAL;Hombres;0-4 años;2019;10.135
47 Valladolid;TOTAL;Hombres;5-9 años;2019;12.312
47 Valladolid;TOTAL;Hombres;10-14 años;2019;12.830
47 Valladolid;TOTAL;Hombres;15-19 años;2019;11.603
47 Valladolid;TOTAL;Hombres;20-24 años;2019;11.117
47 Valladolid;TOTAL;Hombres;25-29 años;2019;11.893
47 Valladolid;TOTAL;Hombres;30-34 años;2019;13.397
47 Valladolid;TOTAL;Hombres;35-39 años;2019;17.621
47 Valladolid;TOTAL;Hombres;40-44 años;2019;22.550
47 Valladolid;TOTAL;Hombres;45-49 años;2019;21.523
47 Valladolid;TOTAL;Hombres;50-54 años;2019;20.333
47 Valladolid;TOTAL;Hombres;55-59 años;2019;18.788
47 Valladolid;TOTAL;Hombres;60-64 años;2019;16.746
47 Valladolid;TOTAL;Hombres;65-69 años;2019;14.935
47 Valladolid;TOTAL;Hombres;70-74 años;2019;13.647
47 Valladolid;TOTAL;Hombres;75-79 años;2019;9.923
47 Valladolid;TOTAL;Hombres;80-84 años;2019;7.122
47 Valladolid;TOTAL;Hombres;85-89 años;2019;4.598
47 Valladolid;TOTAL;Hombres;90-94 años;2019;1.727
47 Valladolid;TOTAL;Hombres;95-99 años;2019;384
47 Valladolid;TOTAL;Hombres;100 años y más;2019;32
49 Zamora;TOTAL;Hombres;0-4 años;2019;2.393
49 Zamora;TOTAL;Hombres;5-9 años;2019;2.899
49 Zamora;TOTAL;Hombres;10-14 años;2019;3.033
49 Zamora;TOTAL;Hombres;15-19 años;2019;3.208
49 Zamora;TOTAL;Hombres;20-24 años;2019;3.563
49 Zamora;TOTAL;Hombres;25-29 años;2019;3.897
49 Zamora;TOTAL;Hombres;30-34 años;2019;4.377
49 Zamora;TOTAL;Hombres;35-39 años;2019;5.259
49 Zamora;TOTAL;Hombres;40-44 años;2019;6.018
49 Zamora;TOTAL;Hombres;45-49 años;2019;6.198
49 Zamora;TOTAL;Hombres;50-54 años;2019;6.837
49 Zamora;TOTAL;Hombres;55-59 años;2019;7.345
49 Zamora;TOTAL;Hombres;60-64 años;2019;6.557
49 Zamora;TOTAL;Hombres;65-69 años;2019;5.718
49 Zamora;TOTAL;Hombres;70-74 años;2019;5.244
49 Zamora;TOTAL;Hombres;75-79 años;2019;4.294
49 Zamora;TOTAL;Hombres;80-84 años;2019;3.896
49 Zamora;TOTAL;Hombres;85-89 años;2019;3.020
49 Zamora;TOTAL;Hombres;90-94 años;2019;1.271
49 Zamora;TOTAL;Hombres;95-99 años;2019;286
49 Zamora;TOTAL;Hombres;100 años y más;2019;28
50 Zaragoza;TOTAL;Hombres;0-4 años;2019;21.316
50 Zaragoza;TOTAL;Hombres;5-9 años;2019;24.133
50 Zaragoza;TOTAL;Hombres;10-14 años;2019;25.178
50 Zaragoza;TOTAL;Hombres;15-19 años;2019;23.713
50 Zaragoza;TOTAL;Hombres;20-24 años;2019;23.139
50 Zaragoza;TOTAL;Hombres;25-29 años;2019;24.482
50 Zaragoza;TOTAL;Hombres;30-34 años;2019;28.018
50 Zaragoza;TOTAL;Hombres;35-39 años;2019;34.124
50 Zaragoza;TOTAL;Hombres;40-44 años;2019;41.436
50 Zaragoza;TOTAL;Hombres;45-49 años;2019;39.757
50 Zaragoza;TOTAL;Hombres;50-54 años;2019;36.950
50 Zaragoza;TOTAL;Hombres;55-59 años;2019;33.629
50 Zaragoza;TOTAL;Hombres;60-64 años;2019;28.687
50 Zaragoza;TOTAL;Hombres;65-69 años;2019;24.110
50 Zaragoza;TOTAL;Hombres;70-74 años;2019;21.849
50 Zaragoza;TOTAL;Hombres;75-79 años;2019;16.112
50 Zaragoza;TOTAL;Hombres;80-84 años;2019;12.259
50 Zaragoza;TOTAL;Hombres;85-89 años;2019;8.742
50 Zaragoza;TOTAL;Hombres;90-94 años;2019;3.154
50 Zaragoza;TOTAL;Hombres;95-99 años;2019;693
50 Zaragoza;TOTAL;Hombres;100 años y más;2019;58
