Causas (lista reducida);Sexo;Edad;Total
019 Otros tumores malignos respiratorios e intratorácicos;Hombres;De 40 a 44 años;5
019 Otros tumores malignos respiratorios e intratorácicos;Hombres;De 45 a 49 años;6
019 Otros tumores malignos respiratorios e intratorácicos;Hombres;De 50 a 54 años;13
019 Otros tumores malignos respiratorios e intratorácicos;Hombres;De 55 a 59 años;19
019 Otros tumores malignos respiratorios e intratorácicos;Hombres;De 60 a 64 años;33
019 Otros tumores malignos respiratorios e intratorácicos;Hombres;De 65 a 69 años;41
019 Otros tumores malignos respiratorios e intratorácicos;Hombres;De 70 a 74 años;52
019 Otros tumores malignos respiratorios e intratorácicos;Hombres;De 75 a 79 años;62
019 Otros tumores malignos respiratorios e intratorácicos;Hombres;De 80 a 84 años;40
019 Otros tumores malignos respiratorios e intratorácicos;Hombres;De 85 a 89 años;39
019 Otros tumores malignos respiratorios e intratorácicos;Hombres;De 90 a 94 años;7
019 Otros tumores malignos respiratorios e intratorácicos;Hombres;De 95 años y más;4
020 Tumores malignos del hueso y de los cartílagos articulares;Hombres;Menores de 1 año;0
020 Tumores malignos del hueso y de los cartílagos articulares;Hombres;De 1 a 4 años;0
020 Tumores malignos del hueso y de los cartílagos articulares;Hombres;De 5 a 9 años;0
020 Tumores malignos del hueso y de los cartílagos articulares;Hombres;De 10 a 14 años;7
020 Tumores malignos del hueso y de los cartílagos articulares;Hombres;De 15 a 19 años;11
020 Tumores malignos del hueso y de los cartílagos articulares;Hombres;De 20 a 24 años;8
020 Tumores malignos del hueso y de los cartílagos articulares;Hombres;De 25 a 29 años;2
020 Tumores malignos del hueso y de los cartílagos articulares;Hombres;De 30 a 34 años;4
020 Tumores malignos del hueso y de los cartílagos articulares;Hombres;De 35 a 39 años;7
020 Tumores malignos del hueso y de los cartílagos articulares;Hombres;De 40 a 44 años;7
020 Tumores malignos del hueso y de los cartílagos articulares;Hombres;De 45 a 49 años;11
020 Tumores malignos del hueso y de los cartílagos articulares;Hombres;De 50 a 54 años;5
020 Tumores malignos del hueso y de los cartílagos articulares;Hombres;De 55 a 59 años;17
020 Tumores malignos del hueso y de los cartílagos articulares;Hombres;De 60 a 64 años;10
020 Tumores malignos del hueso y de los cartílagos articulares;Hombres;De 65 a 69 años;16
020 Tumores malignos del hueso y de los cartílagos articulares;Hombres;De 70 a 74 años;10
020 Tumores malignos del hueso y de los cartílagos articulares;Hombres;De 75 a 79 años;15
020 Tumores malignos del hueso y de los cartílagos articulares;Hombres;De 80 a 84 años;15
020 Tumores malignos del hueso y de los cartílagos articulares;Hombres;De 85 a 89 años;9
020 Tumores malignos del hueso y de los cartílagos articulares;Hombres;De 90 a 94 años;9
020 Tumores malignos del hueso y de los cartílagos articulares;Hombres;De 95 años y más;1
021 Melanoma maligno de la piel;Hombres;Menores de 1 año;0
021 Melanoma maligno de la piel;Hombres;De 1 a 4 años;0
021 Melanoma maligno de la piel;Hombres;De 5 a 9 años;1
021 Melanoma maligno de la piel;Hombres;De 10 a 14 años;0
021 Melanoma maligno de la piel;Hombres;De 15 a 19 años;0
021 Melanoma maligno de la piel;Hombres;De 20 a 24 años;1
021 Melanoma maligno de la piel;Hombres;De 25 a 29 años;4
021 Melanoma maligno de la piel;Hombres;De 30 a 34 años;4
021 Melanoma maligno de la piel;Hombres;De 35 a 39 años;10
021 Melanoma maligno de la piel;Hombres;De 40 a 44 años;19
021 Melanoma maligno de la piel;Hombres;De 45 a 49 años;21
021 Melanoma maligno de la piel;Hombres;De 50 a 54 años;37
021 Melanoma maligno de la piel;Hombres;De 55 a 59 años;41
021 Melanoma maligno de la piel;Hombres;De 60 a 64 años;47
021 Melanoma maligno de la piel;Hombres;De 65 a 69 años;49
021 Melanoma maligno de la piel;Hombres;De 70 a 74 años;64
021 Melanoma maligno de la piel;Hombres;De 75 a 79 años;97
021 Melanoma maligno de la piel;Hombres;De 80 a 84 años;73
021 Melanoma maligno de la piel;Hombres;De 85 a 89 años;77
021 Melanoma maligno de la piel;Hombres;De 90 a 94 años;37
021 Melanoma maligno de la piel;Hombres;De 95 años y más;6
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Menores de 1 año;0
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;De 1 a 4 años;0
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;De 5 a 9 años;1
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;De 10 a 14 años;2
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;De 15 a 19 años;4
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;De 20 a 24 años;4
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;De 25 a 29 años;9
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;De 30 a 34 años;7
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;De 35 a 39 años;5
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;De 40 a 44 años;18
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;De 45 a 49 años;24
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;De 50 a 54 años;35
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;De 55 a 59 años;45
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;De 60 a 64 años;59
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;De 65 a 69 años;63
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;De 70 a 74 años;112
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;De 75 a 79 años;137
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;De 80 a 84 años;153
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;De 85 a 89 años;154
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;De 90 a 94 años;115
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;De 95 años y más;31
023 Tumor maligno de la mama;Hombres;Menores de 1 año;0
023 Tumor maligno de la mama;Hombres;De 1 a 4 años;0
023 Tumor maligno de la mama;Hombres;De 5 a 9 años;0
023 Tumor maligno de la mama;Hombres;De 10 a 14 años;0
023 Tumor maligno de la mama;Hombres;De 15 a 19 años;0
023 Tumor maligno de la mama;Hombres;De 20 a 24 años;0
023 Tumor maligno de la mama;Hombres;De 25 a 29 años;0
023 Tumor maligno de la mama;Hombres;De 30 a 34 años;1
023 Tumor maligno de la mama;Hombres;De 35 a 39 años;0
023 Tumor maligno de la mama;Hombres;De 40 a 44 años;1
023 Tumor maligno de la mama;Hombres;De 45 a 49 años;3
023 Tumor maligno de la mama;Hombres;De 50 a 54 años;0
023 Tumor maligno de la mama;Hombres;De 55 a 59 años;3
023 Tumor maligno de la mama;Hombres;De 60 a 64 años;8
023 Tumor maligno de la mama;Hombres;De 65 a 69 años;10
023 Tumor maligno de la mama;Hombres;De 70 a 74 años;11
023 Tumor maligno de la mama;Hombres;De 75 a 79 años;10
023 Tumor maligno de la mama;Hombres;De 80 a 84 años;12
023 Tumor maligno de la mama;Hombres;De 85 a 89 años;13
023 Tumor maligno de la mama;Hombres;De 90 a 94 años;6
023 Tumor maligno de la mama;Hombres;De 95 años y más;1
024 Tumor maligno del cuello del útero;Hombres;Menores de 1 año;0
024 Tumor maligno del cuello del útero;Hombres;De 1 a 4 años;0
024 Tumor maligno del cuello del útero;Hombres;De 5 a 9 años;0
024 Tumor maligno del cuello del útero;Hombres;De 10 a 14 años;0
024 Tumor maligno del cuello del útero;Hombres;De 15 a 19 años;0
024 Tumor maligno del cuello del útero;Hombres;De 20 a 24 años;0
024 Tumor maligno del cuello del útero;Hombres;De 25 a 29 años;0
024 Tumor maligno del cuello del útero;Hombres;De 30 a 34 años;0
024 Tumor maligno del cuello del útero;Hombres;De 35 a 39 años;0
024 Tumor maligno del cuello del útero;Hombres;De 40 a 44 años;0
024 Tumor maligno del cuello del útero;Hombres;De 45 a 49 años;0
024 Tumor maligno del cuello del útero;Hombres;De 50 a 54 años;0
024 Tumor maligno del cuello del útero;Hombres;De 55 a 59 años;0
024 Tumor maligno del cuello del útero;Hombres;De 60 a 64 años;0
024 Tumor maligno del cuello del útero;Hombres;De 65 a 69 años;0
024 Tumor maligno del cuello del útero;Hombres;De 70 a 74 años;0
024 Tumor maligno del cuello del útero;Hombres;De 75 a 79 años;0
024 Tumor maligno del cuello del útero;Hombres;De 80 a 84 años;0
024 Tumor maligno del cuello del útero;Hombres;De 85 a 89 años;0
024 Tumor maligno del cuello del útero;Hombres;De 90 a 94 años;0
024 Tumor maligno del cuello del útero;Hombres;De 95 años y más;0
025 Tumor maligno de otras partes del útero;Hombres;Menores de 1 año;0
025 Tumor maligno de otras partes del útero;Hombres;De 1 a 4 años;0
025 Tumor maligno de otras partes del útero;Hombres;De 5 a 9 años;0
025 Tumor maligno de otras partes del útero;Hombres;De 10 a 14 años;0
025 Tumor maligno de otras partes del útero;Hombres;De 15 a 19 años;0
025 Tumor maligno de otras partes del útero;Hombres;De 20 a 24 años;0
025 Tumor maligno de otras partes del útero;Hombres;De 25 a 29 años;0
025 Tumor maligno de otras partes del útero;Hombres;De 30 a 34 años;0
025 Tumor maligno de otras partes del útero;Hombres;De 35 a 39 años;0
025 Tumor maligno de otras partes del útero;Hombres;De 40 a 44 años;0
025 Tumor maligno de otras partes del útero;Hombres;De 45 a 49 años;0
025 Tumor maligno de otras partes del útero;Hombres;De 50 a 54 años;0
025 Tumor maligno de otras partes del útero;Hombres;De 55 a 59 años;0
025 Tumor maligno de otras partes del útero;Hombres;De 60 a 64 años;0
025 Tumor maligno de otras partes del útero;Hombres;De 65 a 69 años;0
025 Tumor maligno de otras partes del útero;Hombres;De 70 a 74 años;0
025 Tumor maligno de otras partes del útero;Hombres;De 75 a 79 años;0
025 Tumor maligno de otras partes del útero;Hombres;De 80 a 84 años;0
025 Tumor maligno de otras partes del útero;Hombres;De 85 a 89 años;0
025 Tumor maligno de otras partes del útero;Hombres;De 90 a 94 años;0
025 Tumor maligno de otras partes del útero;Hombres;De 95 años y más;0
026 Tumor maligno del ovario;Hombres;Menores de 1 año;0
026 Tumor maligno del ovario;Hombres;De 1 a 4 años;0
026 Tumor maligno del ovario;Hombres;De 5 a 9 años;0
026 Tumor maligno del ovario;Hombres;De 10 a 14 años;0
026 Tumor maligno del ovario;Hombres;De 15 a 19 años;0
026 Tumor maligno del ovario;Hombres;De 20 a 24 años;0
026 Tumor maligno del ovario;Hombres;De 25 a 29 años;0
026 Tumor maligno del ovario;Hombres;De 30 a 34 años;0
026 Tumor maligno del ovario;Hombres;De 35 a 39 años;0
026 Tumor maligno del ovario;Hombres;De 40 a 44 años;0
026 Tumor maligno del ovario;Hombres;De 45 a 49 años;0
026 Tumor maligno del ovario;Hombres;De 50 a 54 años;0
026 Tumor maligno del ovario;Hombres;De 55 a 59 años;0
026 Tumor maligno del ovario;Hombres;De 60 a 64 años;0
026 Tumor maligno del ovario;Hombres;De 65 a 69 años;0
026 Tumor maligno del ovario;Hombres;De 70 a 74 años;0
026 Tumor maligno del ovario;Hombres;De 75 a 79 años;0
026 Tumor maligno del ovario;Hombres;De 80 a 84 años;0
026 Tumor maligno del ovario;Hombres;De 85 a 89 años;0
026 Tumor maligno del ovario;Hombres;De 90 a 94 años;0
026 Tumor maligno del ovario;Hombres;De 95 años y más;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;Menores de 1 año;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 1 a 4 años;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 5 a 9 años;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 10 a 14 años;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 15 a 19 años;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 20 a 24 años;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 25 a 29 años;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 30 a 34 años;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 35 a 39 años;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 40 a 44 años;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 45 a 49 años;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 50 a 54 años;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 55 a 59 años;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 60 a 64 años;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 65 a 69 años;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 70 a 74 años;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 75 a 79 años;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 80 a 84 años;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 85 a 89 años;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 90 a 94 años;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 95 años y más;0
028 Tumor maligno de la próstata;Hombres;Menores de 1 año;0
028 Tumor maligno de la próstata;Hombres;De 1 a 4 años;0
028 Tumor maligno de la próstata;Hombres;De 5 a 9 años;0
028 Tumor maligno de la próstata;Hombres;De 10 a 14 años;0
028 Tumor maligno de la próstata;Hombres;De 15 a 19 años;0
028 Tumor maligno de la próstata;Hombres;De 20 a 24 años;0
028 Tumor maligno de la próstata;Hombres;De 25 a 29 años;0
028 Tumor maligno de la próstata;Hombres;De 30 a 34 años;0
028 Tumor maligno de la próstata;Hombres;De 35 a 39 años;0
028 Tumor maligno de la próstata;Hombres;De 40 a 44 años;1
028 Tumor maligno de la próstata;Hombres;De 45 a 49 años;7
028 Tumor maligno de la próstata;Hombres;De 50 a 54 años;40
028 Tumor maligno de la próstata;Hombres;De 55 a 59 años;87
028 Tumor maligno de la próstata;Hombres;De 60 a 64 años;192
028 Tumor maligno de la próstata;Hombres;De 65 a 69 años;327
028 Tumor maligno de la próstata;Hombres;De 70 a 74 años;586
028 Tumor maligno de la próstata;Hombres;De 75 a 79 años;816
028 Tumor maligno de la próstata;Hombres;De 80 a 84 años;1.198
028 Tumor maligno de la próstata;Hombres;De 85 a 89 años;1.444
028 Tumor maligno de la próstata;Hombres;De 90 a 94 años;831
028 Tumor maligno de la próstata;Hombres;De 95 años y más;258
029 Tumores malignos de otros órganos genitales masculinos;Hombres;Menores de 1 año;0
029 Tumores malignos de otros órganos genitales masculinos;Hombres;De 1 a 4 años;0
029 Tumores malignos de otros órganos genitales masculinos;Hombres;De 5 a 9 años;0
029 Tumores malignos de otros órganos genitales masculinos;Hombres;De 10 a 14 años;0
029 Tumores malignos de otros órganos genitales masculinos;Hombres;De 15 a 19 años;0
029 Tumores malignos de otros órganos genitales masculinos;Hombres;De 20 a 24 años;2
029 Tumores malignos de otros órganos genitales masculinos;Hombres;De 25 a 29 años;4
029 Tumores malignos de otros órganos genitales masculinos;Hombres;De 30 a 34 años;5
029 Tumores malignos de otros órganos genitales masculinos;Hombres;De 35 a 39 años;4
029 Tumores malignos de otros órganos genitales masculinos;Hombres;De 40 a 44 años;7
029 Tumores malignos de otros órganos genitales masculinos;Hombres;De 45 a 49 años;9
029 Tumores malignos de otros órganos genitales masculinos;Hombres;De 50 a 54 años;7
029 Tumores malignos de otros órganos genitales masculinos;Hombres;De 55 a 59 años;8
029 Tumores malignos de otros órganos genitales masculinos;Hombres;De 60 a 64 años;8
029 Tumores malignos de otros órganos genitales masculinos;Hombres;De 65 a 69 años;22
029 Tumores malignos de otros órganos genitales masculinos;Hombres;De 70 a 74 años;22
029 Tumores malignos de otros órganos genitales masculinos;Hombres;De 75 a 79 años;26
029 Tumores malignos de otros órganos genitales masculinos;Hombres;De 80 a 84 años;15
029 Tumores malignos de otros órganos genitales masculinos;Hombres;De 85 a 89 años;20
029 Tumores malignos de otros órganos genitales masculinos;Hombres;De 90 a 94 años;10
029 Tumores malignos de otros órganos genitales masculinos;Hombres;De 95 años y más;9
030 Tumor maligno del riñón, excepto pelvis renal;Hombres;Menores de 1 año;1
030 Tumor maligno del riñón, excepto pelvis renal;Hombres;De 1 a 4 años;0
030 Tumor maligno del riñón, excepto pelvis renal;Hombres;De 5 a 9 años;1
030 Tumor maligno del riñón, excepto pelvis renal;Hombres;De 10 a 14 años;0
030 Tumor maligno del riñón, excepto pelvis renal;Hombres;De 15 a 19 años;0
030 Tumor maligno del riñón, excepto pelvis renal;Hombres;De 20 a 24 años;0
030 Tumor maligno del riñón, excepto pelvis renal;Hombres;De 25 a 29 años;0
030 Tumor maligno del riñón, excepto pelvis renal;Hombres;De 30 a 34 años;2
030 Tumor maligno del riñón, excepto pelvis renal;Hombres;De 35 a 39 años;9
030 Tumor maligno del riñón, excepto pelvis renal;Hombres;De 40 a 44 años;17
030 Tumor maligno del riñón, excepto pelvis renal;Hombres;De 45 a 49 años;41
030 Tumor maligno del riñón, excepto pelvis renal;Hombres;De 50 a 54 años;64
030 Tumor maligno del riñón, excepto pelvis renal;Hombres;De 55 a 59 años;115
030 Tumor maligno del riñón, excepto pelvis renal;Hombres;De 60 a 64 años;159
030 Tumor maligno del riñón, excepto pelvis renal;Hombres;De 65 a 69 años;161
030 Tumor maligno del riñón, excepto pelvis renal;Hombres;De 70 a 74 años;190
030 Tumor maligno del riñón, excepto pelvis renal;Hombres;De 75 a 79 años;177
030 Tumor maligno del riñón, excepto pelvis renal;Hombres;De 80 a 84 años;211
030 Tumor maligno del riñón, excepto pelvis renal;Hombres;De 85 a 89 años;178
030 Tumor maligno del riñón, excepto pelvis renal;Hombres;De 90 a 94 años;97
030 Tumor maligno del riñón, excepto pelvis renal;Hombres;De 95 años y más;17
031 Tumor maligno de la vejiga;Hombres;Menores de 1 año;0
031 Tumor maligno de la vejiga;Hombres;De 1 a 4 años;0
031 Tumor maligno de la vejiga;Hombres;De 5 a 9 años;0
031 Tumor maligno de la vejiga;Hombres;De 10 a 14 años;0
031 Tumor maligno de la vejiga;Hombres;De 15 a 19 años;0
031 Tumor maligno de la vejiga;Hombres;De 20 a 24 años;0
031 Tumor maligno de la vejiga;Hombres;De 25 a 29 años;0
031 Tumor maligno de la vejiga;Hombres;De 30 a 34 años;1
031 Tumor maligno de la vejiga;Hombres;De 35 a 39 años;2
031 Tumor maligno de la vejiga;Hombres;De 40 a 44 años;7
031 Tumor maligno de la vejiga;Hombres;De 45 a 49 años;13
031 Tumor maligno de la vejiga;Hombres;De 50 a 54 años;33
031 Tumor maligno de la vejiga;Hombres;De 55 a 59 años;102
031 Tumor maligno de la vejiga;Hombres;De 60 a 64 años;190
031 Tumor maligno de la vejiga;Hombres;De 65 a 69 años;286
031 Tumor maligno de la vejiga;Hombres;De 70 a 74 años;425
031 Tumor maligno de la vejiga;Hombres;De 75 a 79 años;538
031 Tumor maligno de la vejiga;Hombres;De 80 a 84 años;662
031 Tumor maligno de la vejiga;Hombres;De 85 a 89 años;741
031 Tumor maligno de la vejiga;Hombres;De 90 a 94 años;409
031 Tumor maligno de la vejiga;Hombres;De 95 años y más;99
032 Otros tumores malignos de las vías urinarias;Hombres;Menores de 1 año;0
032 Otros tumores malignos de las vías urinarias;Hombres;De 1 a 4 años;0
032 Otros tumores malignos de las vías urinarias;Hombres;De 5 a 9 años;0
032 Otros tumores malignos de las vías urinarias;Hombres;De 10 a 14 años;0
032 Otros tumores malignos de las vías urinarias;Hombres;De 15 a 19 años;0
032 Otros tumores malignos de las vías urinarias;Hombres;De 20 a 24 años;0
032 Otros tumores malignos de las vías urinarias;Hombres;De 25 a 29 años;0
032 Otros tumores malignos de las vías urinarias;Hombres;De 30 a 34 años;0
032 Otros tumores malignos de las vías urinarias;Hombres;De 35 a 39 años;0
032 Otros tumores malignos de las vías urinarias;Hombres;De 40 a 44 años;8
032 Otros tumores malignos de las vías urinarias;Hombres;De 45 a 49 años;10
032 Otros tumores malignos de las vías urinarias;Hombres;De 50 a 54 años;30
032 Otros tumores malignos de las vías urinarias;Hombres;De 55 a 59 años;59
032 Otros tumores malignos de las vías urinarias;Hombres;De 60 a 64 años;98
032 Otros tumores malignos de las vías urinarias;Hombres;De 65 a 69 años;165
032 Otros tumores malignos de las vías urinarias;Hombres;De 70 a 74 años;197
032 Otros tumores malignos de las vías urinarias;Hombres;De 75 a 79 años;240
032 Otros tumores malignos de las vías urinarias;Hombres;De 80 a 84 años;253
032 Otros tumores malignos de las vías urinarias;Hombres;De 85 a 89 años;197
032 Otros tumores malignos de las vías urinarias;Hombres;De 90 a 94 años;83
032 Otros tumores malignos de las vías urinarias;Hombres;De 95 años y más;17
033 Tumor maligno del encéfalo;Hombres;Menores de 1 año;2
033 Tumor maligno del encéfalo;Hombres;De 1 a 4 años;5
033 Tumor maligno del encéfalo;Hombres;De 5 a 9 años;8
033 Tumor maligno del encéfalo;Hombres;De 10 a 14 años;10
033 Tumor maligno del encéfalo;Hombres;De 15 a 19 años;10
033 Tumor maligno del encéfalo;Hombres;De 20 a 24 años;5
033 Tumor maligno del encéfalo;Hombres;De 25 a 29 años;3
033 Tumor maligno del encéfalo;Hombres;De 30 a 34 años;21
033 Tumor maligno del encéfalo;Hombres;De 35 a 39 años;40
033 Tumor maligno del encéfalo;Hombres;De 40 a 44 años;51
033 Tumor maligno del encéfalo;Hombres;De 45 a 49 años;98
033 Tumor maligno del encéfalo;Hombres;De 50 a 54 años;136
033 Tumor maligno del encéfalo;Hombres;De 55 a 59 años;177
033 Tumor maligno del encéfalo;Hombres;De 60 a 64 años;221
033 Tumor maligno del encéfalo;Hombres;De 65 a 69 años;245
033 Tumor maligno del encéfalo;Hombres;De 70 a 74 años;216
033 Tumor maligno del encéfalo;Hombres;De 75 a 79 años;195
033 Tumor maligno del encéfalo;Hombres;De 80 a 84 años;131
033 Tumor maligno del encéfalo;Hombres;De 85 a 89 años;95
033 Tumor maligno del encéfalo;Hombres;De 90 a 94 años;22
033 Tumor maligno del encéfalo;Hombres;De 95 años y más;3
034 Otros tumores malignos neurológicos y endocrinos;Hombres;Menores de 1 año;0
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 1 a 4 años;0
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 5 a 9 años;2
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 10 a 14 años;0
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 15 a 19 años;0
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 20 a 24 años;2
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 25 a 29 años;0
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 30 a 34 años;1
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 35 a 39 años;2
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 40 a 44 años;7
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 45 a 49 años;14
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 50 a 54 años;19
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 55 a 59 años;17
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 60 a 64 años;25
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 65 a 69 años;28
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 70 a 74 años;34
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 75 a 79 años;47
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 80 a 84 años;29
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 85 a 89 años;29
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 90 a 94 años;4
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 95 años y más;3
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;Menores de 1 año;0
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 1 a 4 años;0
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 5 a 9 años;0
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 10 a 14 años;1
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 15 a 19 años;2
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 20 a 24 años;1
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 25 a 29 años;2
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 30 a 34 años;4
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 35 a 39 años;11
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 40 a 44 años;18
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 45 a 49 años;45
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 50 a 54 años;97
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 55 a 59 años;173
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 60 a 64 años;221
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 65 a 69 años;296
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 70 a 74 años;388
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 75 a 79 años;345
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 80 a 84 años;372
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 85 a 89 años;404
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 90 a 94 años;222
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 95 años y más;56
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;Menores de 1 año;0
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 1 a 4 años;1
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 5 a 9 años;1
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 10 a 14 años;3
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 15 a 19 años;1
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 20 a 24 años;10
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 25 a 29 años;7
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 30 a 34 años;5
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 35 a 39 años;18
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 40 a 44 años;34
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 45 a 49 años;65
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 50 a 54 años;89
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 55 a 59 años;146
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 60 a 64 años;178
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 65 a 69 años;257
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 70 a 74 años;395
